TX_DATA_0,TX_DATA_1,TX_DATA_2,TX_DATA_3,TX_DATA_4,TX_DATA_5,TX_DATA_6,TX_DATA_7,TX_DATA_8,TX_DATA_9,TX_DATA_10,TX_DATA_11
a482d189,a1c04181,a0c9090a,a0a30309,a3acc109,a0e54980,a1708d06,a184018e,a3e0c206,a1008202,a2094807,a08882b2
a7654000,a004888e,a1418504,a04220a0,a0a5c307,a0c34601,a020d10a,a4804c16,a941c296,a703418c,a104c48a,a16f4004
a0c00c10,a0a94811,a0870183,a1601720,a0020400,a4000695,a48ad333,a5694806,a0cc858c,a044009d,a041450f,a1604117
a162d587,a1c1d206,a0204209,a0638108,a0c94685,a000d783,a3211026,a2f00104,a002c207,a080089f,a1c5c49a,a0c4458b
a066890a,a2040191,a000c699,a121d411,a2a28338,a0618a03,a2c54c06,a1624224,a04188a3,a7e0c011,a1840c96,a1e10388
a24a8296,a0c2cc0f,a00a9d80,a1228106,a0244080,a1600101,a1224808,a6208501,a3ee0282,a427910f,a2820296,a2ac421b
a206db2b,a081008c,a022d080,a764011a,a181c109,a0200395,a363490d,a1218030,a0428011,a466c48c,a1216108,a4e3010e
a0a3d586,a0038a07,a1621108,a0048c0c,a8c1869c,a002420a,a0450014,a12ac90f,a0424318,a061c235,a140181a,a2a3c885
a4c08415,a001d102,a0698208,a0a0d022,a607461b,a3598202,a0e8028b,a000051b,a1e05609,a0e841b7,a18a1282,a049003e
a1010081,a1c19106,a0a4901a,a0424402,a3e38903,a0a009a8,a040910f,a0ab0459,a2034406,a0624128,a801c316,a240ca83
a000801d,a181000a,a08081a1,a3818f86,a0a48101,a084cd87,a0400104,a1238085,a12d848f,a004cc87,a3c14509,a1009130
a0644311,a0000683,a024028e,a5400127,a4008288,a3024407,a1ec8314,a3200b1f,a3414509,a0a16196,a32081a7,a320ca13
a3c98f99,a4424124,a002cb0b,a0a38c8e,a1414108,a4810006,a0a08003,a1610690,a3ca0208,a1ea8114,a0490182,a1a2801a
a220430b,a00205c2,a1614108,a10a820d,a2444383,a160408c,a10c0706,a202008d,a1430801,a168d603,a0008e97,a324c387
a0220588,a1830305,a1c84801,a402cd05,a0210109,a1a0c689,a022cc07,aaa189a8,a088590c,a1638197,a0e1808f,a4674593
a062410f,a380d215,a18194b4,a3408182,a800078d,a2c00384,a0224284,a0608028,a2800123,a3010225,a3c14882,a1c18180
a0020d07,a120840b,a2618800,a107919e,a1e08709,a14062be,a0a10311,a04082aa,a020500f,a0e48994,a0494385,a0428389
a004008f,a1438506,a101008a,a2c88090,a0601a11,a0804908,a2828295,a3224802,a361889d,a2644a8a,a18a038e,a0034e1e
a167c289,a42b4301,a2004a07,a0208416,a149c00a,a188d588,a0801780,a2219784,a2014996,a1024182,a4498389,a3a48480
a0e08a0d,a1c00684,a280c682,a108819b,a3c00181,a200c098,a2600783,a0220426,a1200683,a1e00008,a04b8490,a024d116
a0098403,a5c18e00,a300401f,a1634786,a0650783,a0ca808c,a181c184,a4a79312,a2860512,a0a4d681,a261411a,a2474d00
a0244c2f,a0434eb7,a064878d,a149d289,a142c51a,a080463d,a0664095,a1e50a81,a1a38f22,a02a4085,a0210305,a157823a
